"","hospitalId","sector","name","city","county","pcds","lat","long","trustId","trustName","hasIcu","hasAccidentAndEmergency","hasSurgicalDepartment"
"1","NDA07","Independent Sector","Walton Community Hospital - Virgin Care Services Ltd","Walton-on-Thames","Surrey","KT12 3LD",51.379997253418,-0.406042069196701,"NDA","Virgin Care Services Ltd",FALSE,FALSE,FALSE
"2","NDA18","Independent Sector","Woking Community Hospital (Virgin Care)","Woking","Surrey","GU22 7HS",51.3151321411133,-0.556289494037628,"NDA","Virgin Care Services Ltd",FALSE,FALSE,FALSE
"3","NLT02","NHS Sector","North Somerset Community Hospital","Clevedon","Avon","BS21 6BS",51.4371948242188,-2.84719276428223,"NLT","North Somerset Community Partnership Community Interest Company",FALSE,FALSE,FALSE
"4","NMP01","Independent Sector","Bridgewater Hospital","Manchester","Greater Manchester","M15 5AT",53.4597434997559,-2.24546885490417,"NMP","Bridgewater Hospital (Manchester) Ltd",FALSE,FALSE,FALSE
"5","NMV01","Independent Sector","Kneesworth House","Royston","","SG8 5JP",52.0781211853027,-0.0306040551513433,"NMV","Partnerships In Care Ltd",FALSE,FALSE,FALSE
"6","NMV02","Independent Sector","Stockton Hall Hospital","York","North Yorkshire","YO32 9UN",53.9953918457031,-1.00255286693573,"NMV","Partnerships In Care Ltd",FALSE,FALSE,FALSE
"7","NQ106","Independent Sector","Fryatt Hospital, Harwich","Harwich","Essex","CO12 4EX",51.9346961975098,1.26144409179688,"NQ1","Anglian Community Enterprise Community Interest Company (ACE CIC)",FALSE,FALSE,FALSE
"8","NQ108","Independent Sector","Clacton Hospital","Clacton","Essex","CO15 1LH",51.7860794067383,1.14818751811981,"NQ1","Anglian Community Enterprise Community Interest Company (ACE CIC)",FALSE,FALSE,FALSE
"9","NQ901","Independent Sector","Lakeside Hospital","Bedford","Bedfordshire","MK44 3AS",52.1983261108398,-0.310280710458755,"NQ9","Brookdale Healthcare Ltd (T/A Brookdale Care)",FALSE,FALSE,FALSE
"10","NQM01","Independent Sector","Orthopaedics and Spine Specialist Hospital","Peterborough","Cambridgeshire","PE3 8YA",52.6049423217773,-0.283021807670593,"NQM","Orthopaedics and Spine Specialist Hospital",FALSE,FALSE,FALSE
"11","NR510","Independent Sector","Lee Mill Hospital","Plymouth","Devon","PL21 9HL",50.3894844055176,-3.95966005325317,"NR5","Livewell Southwest",FALSE,FALSE,FALSE
"12","NR527","Independent Sector","Mount Gould Hospital","Plymouth","","PL4 7QD",50.3784027099609,-4.1127405166626,"NR5","Livewell Southwest",FALSE,FALSE,FALSE
"13","NT202","Independent Sector","Nuffield Health, Bournemouth Hospital","Bournemouth","Dorset","BH1 1RW",50.7304191589355,-1.87092673778534,"NT2","Nuffield Health",FALSE,FALSE,FALSE
