"","","","","","Measure1 Total "
"7A14S ","Wales ","Betsi Cadwaladr University Health Board (1)","Coed Llys Mental Health Resource Centre ","","."
"7A1A1 ","Wales ","Betsi Cadwaladr University Health Board (1)","Ysbyty Glan Clwyd ","",450.875
"7A1A2 ","Wales ","Betsi Cadwaladr University Health Board (1)","Abergele Hospital ","",36
"7A1A3 ","Wales ","Betsi Cadwaladr University Health Board (1)","H M Stanley Hospital ","","."
"7A1A4 ","Wales ","Betsi Cadwaladr University Health Board (1)","Wrexham Maelor Hospital ","",610.616667
"7A1A5 ","Wales ","Betsi Cadwaladr University Health Board (1)","Royal Alexandra Hospital ","","."
"7A1A7 ","Wales ","Betsi Cadwaladr University Health Board (1)","Chirk Community Hospital ","",30.966667
"7A1A8 ","Wales ","Betsi Cadwaladr University Health Board (1)","Colwyn Bay Community Hospital ","",44.991667
"7A1A9 ","Wales ","Betsi Cadwaladr University Health Board (1)","Denbigh Community Hospital ","",24.408333
"7A1AA ","Wales ","Betsi Cadwaladr University Health Board (1)","Flint Community Hospital ","","."
"7A1AB ","Wales ","Betsi Cadwaladr University Health Board (1)","Holywell Community Hospital ","",44.258333
"7A1AC ","Wales ","Betsi Cadwaladr University Health Board (1)","Llangollen Community Hospital ","","."
"7A1AD ","Wales ","Betsi Cadwaladr University Health Board (1)","Mold Community Hospital ","",39.891667
"7A1AE ","Wales ","Betsi Cadwaladr University Health Board (1)","Prestatyn Community Hospital ","","."
"7A1AF ","Wales ","Betsi Cadwaladr University Health Board (1)","Ruthin Community Hospital ","",26.641667
"7A1AU ","Wales ","Betsi Cadwaladr University Health Board (1)","Ysbyty Gwynedd ","",463.016666
"7A1AV ","Wales ","Betsi Cadwaladr University Health Board (1)","Llandudno General Hospital ","",74.15
"7A1AX ","Wales ","Betsi Cadwaladr University Health Board (1)","Bryn Beryl Hospital ","",24.283333
"7A1AY ","Wales ","Betsi Cadwaladr University Health Board (1)","Dolgellau And Barmouth District Hospital ","",20.016667
"7A1AZ ","Wales ","Betsi Cadwaladr University Health Board (1)","Ffestiniog Memorial Hospital ","","."
"7A1B2 ","Wales ","Betsi Cadwaladr University Health Board (1)","Tywyn & District War Memorial Hospital ","",10.666667
"7A1CA ","Wales ","Betsi Cadwaladr University Health Board (1)","Ysbyty Alltwen ","",20.866667
"7A1CC ","Wales ","Betsi Cadwaladr University Health Board (1)","Deeside Community Hospital ","",44.075
"7A1D4 ","Wales ","Betsi Cadwaladr University Health Board (1)","Penley Hospital ","",5.308333
"7A1DC ","Wales ","Betsi Cadwaladr University Health Board (1)","Ysbyty Penrhos Stanley ","",33.341667
"7A1DD ","Wales ","Betsi Cadwaladr University Health Board (1)","Cefni Hospital ","",13.308333
"7A1DG ","Wales ","Betsi Cadwaladr University Health Board (1)","Eryri Hospital ","",33.75
"7A1F4 ","Wales ","Betsi Cadwaladr University Health Board (1)","Dryll Y Car ","","."
"7A1F7 ","Wales ","Betsi Cadwaladr University Health Board (1)","South Clwyd Intensive Rehabilitation Unit ","","."
"7A1F9 ","Wales ","Betsi Cadwaladr University Health Board (1)","Ablett Unit ","",41.816667
"7A1FC ","Wales ","Betsi Cadwaladr University Health Board (1)","Tan-y-Castell ","",8
"7A1FT ","Wales ","Betsi Cadwaladr University Health Board (1)","Ysbyty Gwynedd (psychiatric) ","",40.058333
"7A1GE ","Wales ","Betsi Cadwaladr University Health Board (1)","Bryn-y-Neuadd Hospital ","",58.7525
"7A1HD ","Wales ","Betsi Cadwaladr University Health Board (1)","North Wales Cancer Treatment Centre ","",20.65
"7A1NS ","Wales ","Betsi Cadwaladr University Health Board (1)","North Wales activity not at a hospital site ","","."
"7A1RH ","Wales ","Betsi Cadwaladr University Health Board (1)","North Wales activity outside the Trust ","","."
"7A2AG ","Wales ","Hywel Dda University Health Board ","Glangwili General Hospital ","",382.249998
"7A2AH ","Wales ","Hywel Dda University Health Board ","Llandovery Hospital ","",16
"7A2AJ ","Wales ","Hywel Dda University Health Board ","Bronglais General Hospital ","",160.833333
"7A2AK ","Wales ","Hywel Dda University Health Board ","Cardigan And District Memorial Hospital ","","."
"7A2AL ","Wales ","Hywel Dda University Health Board ","Prince Philip Hospital ","",212.583335
"7A2BL ","Wales ","Hywel Dda University Health Board ","Withybush General Hospital ","",229.735835
"7A2D8 ","Wales ","Hywel Dda University Health Board ","Tregaron Hospital ","",12
"7A2D9 ","Wales ","Hywel Dda University Health Board ","Mynydd Mawr Hospital ","","."
"7A2E1 ","Wales ","Hywel Dda University Health Board ","Amman Valley Hospital ","",28
"7A2EF ","Wales ","Hywel Dda University Health Board ","S. Pembs Hosp. Health & Social Care Res Centre ","",35
"7A2F2 ","Wales ","Hywel Dda University Health Board ","Haverfordwest Mental Health Unit ","",30
"7A2F4 ","Wales ","Hywel Dda University Health Board ","Hafen Derwen (St Davids Hospital) ","",35.608333
"7A2F5 ","Wales ","Hywel Dda University Health Board ","Carmarthen Mental Health Unit ","",10
"7A2FC ","Wales ","Hywel Dda University Health Board ","Aberystwyth Mental Health Unit ","",7
"7A2FE ","Wales ","Hywel Dda University Health Board ","Caebryn Mental Health Unit ","",33
"7A2LB ","Wales ","Hywel Dda University Health Board ","Ty Bryngwyn Mawr ","",6
