trustId,trustName,acuteBeds,dayBeds,icuBeds,approxLat,approxLong
7A4CH,The Barry Hospital,22.9975,NA,1,51.413855,-3.285147
7A4C1,University Hospital Llandough,399.11167,NA,7,51.4492923,-3.2027997
7A3GT,Ely Houses,24.333333,NA,1,51.4721104,-3.2713722
7A4FE,St Davids Community Hospital,53.5975,NA,1,51.482027,-3.1935849
7A4BX,Rookwood Hospital,47.994167,NA,1,51.4944191,-3.2251092
7A3G8,Hafod y Wennol (Hensol Hospital),8,NA,1,51.5040887,-3.3693703
7A4BV,University Hospital Of Wales,941.3275,NA,48,51.5071142,-3.1902633
7A3B7,Princess Of Wales Hospital,397.833332,NA,9.041667,51.51741,-3.5723825
7A55E,Ty Llidiard,16,NA,1,51.51741,-3.5723825
7A4FF,Whitchurch Hospital,13.944167,NA,1,51.5174191,-3.2357472
7A3LA,Coity Clinic,60.308333,NA,1,51.5178661,-3.571553
7A6GV,Mitchell Close,2.870833,NA,1,51.5179141,-3.0946284
7A3FA,Glanrhyd Hospital,33.091667,NA,1,51.5276822,-3.5864639
7A3FV,"Caswell Clinic , South Wales Forensic&psychiatric",61.025,NA,1,51.5276822,-3.5864639
7A5B1,The Royal Glamorgan Hospital,459.196667,NA,6.125,51.5476275,-3.3909207
7A6AR,Royal Gwent Hospital,724.065831,NA,16.044167,51.5798532,-2.9975203
7A6AT,St Woolos Community,87.936666,NA,1,51.582303,-3.0034078
7A6ML,St Woolos other,31.086667,NA,1,51.582303,-3.0034078
7A3CJ,Neath Port Talbot Hospital,191.558332,NA,1,51.599213,-3.80035
7A5BK,Pontypridd & District Hospital,5.919167,NA,1,51.600774,-3.342314
7A3C4,Singleton Hospital,345.833334,NA,0,51.6093656,-3.9851733
7A3B9,Maesteg General Hospital,19.891667,NA,1,51.610862,-3.6696489
7A6F7,St Cadoc's Hospital,52.008333,NA,1,51.6137009,-2.9641847
7A3FJ,Cefn Coed Hospital,119,NA,1,51.628742,-3.989675
7A6AV,Ysbyty Ystrad Fawr,199.684166,NA,1,51.6340724,-3.234783
7A5CA,Ysbyty Cwm Rhondda,111.004167,NA,1,51.6366286,-3.449992
