"","from","to"
"1","E06000001","E06000004"
"2","E06000001","E06000047"
"3","E06000002","E06000003"
"4","E06000002","E06000004"
"5","E06000002","E10000023"
"6","E06000003","E06000002"
"7","E06000003","E06000004"
"8","E06000003","E10000023"
"9","E06000004","E06000001"
"10","E06000004","E06000002"
"11","E06000004","E06000003"
"12","E06000004","E06000005"
"13","E06000004","E06000047"
"14","E06000004","E10000023"
"15","E06000005","E06000004"
"16","E06000005","E06000047"
"17","E06000005","E10000023"
"18","E06000006","E06000007"
"19","E06000006","E06000050"
"20","E06000006","E08000011"
"21","E06000006","E08000012"
"22","E06000006","E08000013"
"23","E06000007","E06000006"
"24","E06000007","E06000049"
"25","E06000007","E06000050"
"26","E06000007","E08000009"
"27","E06000007","E08000006"
"28","E06000007","E08000010"
"29","E06000007","E08000013"
"30","E06000008","E08000001"
"31","E06000008","E08000002"
"32","E06000008","E10000017"
"33","E06000009","E10000017"
"34","E06000010","E06000011"
"35","E06000011","E06000010"
"36","E06000011","E06000013"
"37","E06000011","E06000014"
"38","E06000011","E08000017"
"39","E06000011","E10000023"
"40","E06000012","E06000013"
"41","E06000012","E10000019"
"42","E06000013","E06000011"
"43","E06000013","E06000012"
"44","E06000013","E08000017"
"45","E06000013","E10000019"
"46","E06000013","E10000024"
"47","E06000014","E06000011"
"48","E06000014","E10000023"
"49","E06000015","E10000007"
"50","E06000016","E10000018"
"51","E06000017","E10000018"
"52","E06000017","E10000019"
"53","E06000017","E10000021"
"54","E06000018","E10000024"
"55","E06000019","E06000051"
"56","E06000019","E10000013"
"57","E06000019","E10000034"
"58","E06000019","W11000024"
"59","E06000019","W11000028"
"60","E06000020","E06000051"
"61","E06000020","E10000028"
"62","E06000021","E10000028"
"63","E06000022","E06000023"
"64","E06000022","E06000024"
"65","E06000022","E06000025"
"66","E06000022","E06000054"
"67","E06000022","E10000027"
"68","E06000023","E06000022"
"69","E06000023","E06000024"
"70","E06000023","E06000025"
"71","E06000024","E06000022"
"72","E06000024","E06000023"
"73","E06000024","E10000027"
"74","E06000025","E06000022"
"75","E06000025","E06000023"
"76","E06000025","E06000054"
"77","E06000025","E10000013"
"78","E06000026","E10000008"
"79","E06000027","E10000008"
"80","E06000030","E06000054"
"81","E06000030","E10000013"
"82","E06000030","E10000025"
"83","E06000031","E10000003"
"84","E06000031","E10000019"
"85","E06000031","E10000021"
"86","E06000032","E06000056"
"87","E06000032","E10000015"
