code,name,date,src_cumulative_cases,cumulative_cases,incidence,log_cumulative_cases,imputed,estimated_exponent,community_transmission_date,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),slope,slopeLowerCi,slopeUpperCi,r_squared
E06000001,Hartlepool,2020-03-16,1,1,0,0,FALSE,0.1606856142023037,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-17,NA,1,1,0.34657359027997264,TRUE,0.1606856142023037,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-18,2,2,0,0.6931471805599453,FALSE,0.16068561420230357,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-19,NA,2,1,0.8958797346140275,TRUE,0.1606856142023037,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-20,3,3,0,1.0986122886681098,FALSE,0.16068561420230368,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-21,NA,3,1,1.2007774134213078,TRUE,0.1606856142023037,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-22,NA,4,0,1.3029425381745061,TRUE,0.14746467902421778,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-23,NA,4,1,1.405107662927704,TRUE,0.14871891344242896,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-24,NA,5,0,1.5072727876809022,TRUE,0.15418384553436354,2020-03-16,1.9624164756367795,0.8776193279378799,0.6371912879880937,0.7732507943657415,1.3221193794556618,1.8332537095594044,2.4626092355738085,3.5926033095856624,4.019652470661455,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-25,5,5,1,1.6094379124341003,FALSE,0.1702503169575484,2020-03-16,1.7003239253914406,0.7604079761889084,0.5520905503331465,0.6699784894342465,1.145542366272016,1.5884116253482832,2.1337129269552064,3.1127894805035274,3.4828036517613876,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-26,6,6,2,1.791759469228055,FALSE,0.18715002803865294,2020-03-16,2.1824370574848557,0.8248836723080721,0.8774528881218738,1.0242849587896332,1.5846541107012353,2.079437587353187,2.668330727887004,3.692183303034227,4.071640008286513,0.12309193889735472,-2.5760465659266747,2.822230443721384,0.2513675574758605
