bootstrapNumber,dist,shape,rate,mean,sd
1,gamma,10.981879091233163,2.205906599334834,4.97839713365227,2.2568485606568514
2,gamma,12.191411004650286,2.5548979800578833,4.771779969223695,1.8676988304306326
3,gamma,8.760658028729244,1.8876683803942307,4.640994212606147,2.458585554967498
4,gamma,24.65418940951281,5.238569000683663,4.706283224730894,0.8983909964947867
5,gamma,3.6617199239893554,0.7949225450117204,4.606385800688753,5.794760545658994
6,gamma,12.967634219105713,2.667522012247959,4.861303546724138,1.8224042854767104
7,gamma,16.259105098855358,3.5921183192516675,4.5263278249260335,1.2600720306643423
8,gamma,7.320826932051718,1.5069614388608257,4.858005482599364,3.223709218645788
9,gamma,9.44930424866554,1.8938050573987946,4.989586553139993,2.6346885777110343
10,gamma,6.2801083466397944,1.3836014081846308,4.538957758708614,3.2805385509573908
11,gamma,7.580682722350522,1.521732069835724,4.9816146170651985,3.2736476517860207
12,gamma,19.102401095408098,4.121178409982986,4.635179357713602,1.124721838415323
13,gamma,4.61290017831627,0.9323146805344855,4.9477931374755855,5.306999064563771
14,gamma,5.681914051204355,1.1511670825706668,4.935785723229763,4.287636258854517
15,gamma,5.828943915504488,1.305782846822515,4.463945846500135,3.4185974010630304
16,gamma,10.272846811308352,2.2205630962712473,4.626235043065625,2.083361220779524
17,gamma,9.52410549454905,2.0532033689435907,4.638656666265539,2.2592290351891493
18,gamma,4.234162252719618,0.8758327753097397,4.8344414277282555,5.519822463847105
19,gamma,5.135367295930199,1.1843630892525914,4.3359737757202,3.6610173139188893
20,gamma,23.020312504496513,4.892270409630735,4.705445647317371,0.9618122575674501
21,gamma,5.1954734973327366,1.1142699019061875,4.662670586762518,4.18450734313658
22,gamma,8.773417137881781,1.812324580359507,4.840974532355245,2.6711410223189445
23,gamma,21.382755422070108,4.566767792060703,4.682251516979666,1.0252878469362359
24,gamma,23.596410171541848,4.9936080653570745,4.725322825241503,0.9462742697055486
25,gamma,14.306376892664534,3.0880524646724434,4.632815360597199,1.5002385528085942
26,gamma,22.76236816036361,4.686529731212407,4.8569772232032715,1.0363696598051388
27,gamma,4.369358284582946,0.7763050635208015,5.6284036906399315,7.250247299835003
28,gamma,6.004290586108345,1.1996207192011215,5.005157455188718,4.172283268433264
29,gamma,2.7777777777777786,0.5547713311520202,5.007067996843916,9.025462773006677
30,gamma,5.003998596784626,1.0589588705247401,4.725394664577504,4.462302357631656
31,gamma,9.116315433265655,1.7586250204222542,5.183774441624164,2.947629188386911
32,gamma,4.488263187601839,0.9080184245380272,4.942920833225751,5.443634952386084
33,gamma,7.121742275792514,1.4371930757787312,4.9553135175895955,3.447910792991122
34,gamma,5.1652892561983474,1.203589341859944,4.2915711169527855,3.5656440014007496
35,gamma,7.761240061732745,1.5797758738575696,4.912874155231268,3.1098551614380496
36,gamma,7.855074503810653,1.6282330181011404,4.824293830480916,2.962901364146914
37,gamma,21.433470507544587,4.599683068780662,4.659771159673926,1.0130635285072354
38,gamma,24.840764736257054,5.234132423550154,4.745918277590752,0.9067249151430027
39,gamma,17.689779349296884,3.7610484751738733,4.703417003546886,1.2505600591413402
40,gamma,9.124777032005763,1.9984956196730055,4.565822883063793,2.2846299176832092
41,gamma,10.887831384424496,2.1513274947578522,5.060982770384758,2.3524929527079785
42,gamma,9.47911863913223,2.0976240434413627,4.5189788269116065,2.1543321078155495
43,gamma,5.01824231446153,0.9850192829286456,5.094562514087401,5.172043433444591
44,gamma,12.191411004650293,2.573250417870798,4.7377476051234515,1.8411529527870973
45,gamma,7.796787255649831,1.635326209233907,4.767725981290518,2.9154586738532307
46,gamma,10.008338826208599,2.057903230270901,4.863367081109595,2.363263252407347
47,gamma,4.961176767633149,1.1326729116247443,4.3800612839912185,3.8670133619672344
48,gamma,7.320421281460247,1.3468319948201277,5.435289115208393,4.03561033307223
49,gamma,14.19619582001195,2.901533576755156,4.892652607483468,1.6862298774274467
50,gamma,24.901730658155547,4.972623078966682,5.007765572155564,1.007067194241512
51,gamma,3.1110144185578568,0.7914730843086802,3.930663569280062,4.966263094989943
52,gamma,5.647399846752158,1.173589511080862,4.812074233307496,4.100304397638688
53,gamma,6.782136162652914,1.323351873415192,5.1249681198925305,3.8727176217059007
54,gamma,5.681914051204355,1.2131984202309767,4.683416955095107,3.8603882736703925
55,gamma,6.200298407961778,1.4026885490167753,4.420295875593996,3.151302460330509
56,gamma,8.526487311006548,1.6170469295454462,5.272875607514591,3.2608055531182405
57,gamma,3.170631731885293,0.7441848670069137,4.26054314250902,5.725113921819964
58,gamma,5.823183911987001,1.2332697079565385,4.721744055187817,3.828638638186851
59,gamma,7.854172832980823,1.6482006674266594,4.7653013302339975,2.891214294721818
60,gamma,7.121742275792511,1.4606542745566984,4.875720695750489,3.3380388368974216
61,gamma,9.040687840669179,1.969386964157804,4.59061017728193,2.3309843422494048
